rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230409
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230409
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230409
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230409
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230409
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230409
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230409
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230409
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230409
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230409
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1889623268,47.3,1253031743,196.8,43239750413,187752,125126,199.8,4189500,1335,5351,20230408
2,2,0,OLD,20226489,리바운드,2023-04-05,887199743,22.2,515420861,138.6,1966645029,90873,51860,132.9,207264,1144,4649,20230408
3,3,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,219143606,5.5,114655598,109.7,2497164870,21357,10842,103.1,251223,645,1388,20230408
4,4,0,NEW,20231089,존 윅 4,2023-04-12,230453208,5.8,230453208,100,251669208,19900,19900,100,21148,169,363,20230408
5,5,-2,OLD,20231010,에어,2023-04-05,197964464,5.0,79845665,67.6,605639949,19896,7875,65.5,63058,653,2190,20230408
6,6,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,226160000,5.7,85980500,61.3,46001521367,12641,4846,62.2,4436645,21,125,20230408
7,7,-1,OLD,20210544,웅남이,2023-03-22,49119889,1.2,24640792,100.7,2681202606,5359,2770,107,292540,368,593,20230408
8,8,6,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,32171888,0.8,26556688,472.9,44548786,3629,2931,419.9,5205,256,310,20230408
9,9,17,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,34728500,0.9,32784400,1686.4,512904000,3551,3304,1337.7,57605,140,217,20230408
10,10,-3,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,40064200,1.0,12685000,46.3,108911600,3520,1181,50.5,9597,103,232,20230408
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,636591525,40.5,280299870,78.7,41350127145,62626,26318,72.5,4001748,1156,4456,20230407
2,2,0,OLD,20226489,리바운드,2023-04-05,371778882,23.6,128190838,52.6,1079445286,39013,12363,46.4,116391,1086,4264,20230407
3,3,0,OLD,20231010,에어,2023-04-05,118118799,7.5,19593956,19.9,407675485,12021,1302,12.1,43162,639,2021,20230407
4,4,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,104488008,6.6,39764295,61.4,2278021264,10515,3694,54.2,229866,607,1430,20230407
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,140179500,8.9,48027000,52.1,45775361367,7795,2686,52.6,4424004,23,126,20230407
6,6,1,OLD,20210544,웅남이,2023-03-22,24479097,1.6,-1047425,-4.1,2632082717,2589,-466,-15.3,287181,331,547,20230407
7,7,-1,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27379200,1.7,-14089000,-34,68847400,2339,-1399,-37.4,6077,100,234,20230407
8,8,0,OLD,20231144,곰돌이 푸: 피와 꿀,2023-04-06,16767089,1.1,1224966,7.9,33443212,1474,43,3,3031,189,254,20230407
9,9,4,OLD,20230767,파벨만스,2023-03-22,13937482,0.9,4200961,43.1,654654458,1386,379,37.6,64674,118,158,20230407
10,10,0,OLD,20230641,오토라는 남자,2023-03-29,10292793,0.7,955739,10.2,274906208,1315,188,16.7,30051,161,211,20230407
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,356291655,33.7,-63079318,-15,40713535620,36308,-6934,-16,3939122,1101,3999,20230406
2,2,0,OLD,20226489,리바운드,2023-04-05,243588044,23.0,-59329316,-19.6,707666404,26650,-6239,-19,77378,1058,3934,20230406
3,3,0,OLD,20231010,에어,2023-04-05,98524843,9.3,-67800901,-40.8,289556686,10719,-7240,-40.3,31141,636,2026,20230406
4,4,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,64723713,6.1,-30380169,-31.9,2173533256,6821,-4244,-38.4,219351,578,1298,20230406
5,5,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,92152500,8.7,-127646500,-58.1,45635181867,5109,-8069,-61.2,4416209,21,123,20230406
6,6,0,NEW,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,41468200,3.9,41468200,100,41468200,3738,3738,100,3738,94,240,20230406
7,7,-1,OLD,20210544,웅남이,2023-03-22,25526522,2.4,-14667900,-36.5,2607603620,3055,-1367,-30.9,284592,350,573,20230406
8,8,22,OLD,20231144,곰돌이 푸: 피와 꿀,2023-04-06,15542123,1.5,14408123,1270.6,16676123,1431,1305,1035.7,1557,184,259,20230406
9,9,0,NEW,20231009,거울 속 외딴 성,2023-04-12,10521000,1.0,10521000,100,11439000,1169,1169,100,1271,4,4,20230406
10,10,-2,OLD,20230641,오토라는 남자,2023-03-29,9337054,0.9,1015661,12.2,264613415,1127,59,5.5,28736,151,187,20230406
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,419370973,31.1,69555129,19.9,40357243965,43242,8150,23.2,3902814,1101,4074,20230405
2,2,3,OLD,20226489,리바운드,2023-04-05,302917360,22.5,278194360,1125.2,464078360,32889,30142,1097.3,50728,1102,4117,20230405
3,3,0,NEW,20231010,에어,2023-04-05,166325744,12.3,166325744,100,191031843,17959,17959,100,20422,656,2301,20230405
4,4,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,219799000,16.3,106271249,93.6,45543029367,13178,3411,34.9,4411100,21,123,20230405
5,5,-3,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,95103882,7.1,-17894080,-15.8,2108809543,11065,-457,-4,212530,617,1409,20230405
6,6,-2,OLD,20210544,웅남이,2023-03-22,40194422,3.0,-7517964,-15.8,2582077098,4422,-727,-14.1,281537,384,707,20230405
7,7,-1,OLD,20197654,소울메이트,2023-03-15,8960596,0.7,-7624716,-46,2190407078,1189,-727,-37.9,225475,103,129,20230405
8,8,-1,OLD,20230641,오토라는 남자,2023-03-29,8321393,0.6,-7964883,-48.9,255276361,1068,-739,-40.9,27609,151,213,20230405
9,9,-1,OLD,20230767,파벨만스,2023-03-22,10252996,0.8,-3641191,-26.2,630980455,1056,-380,-26.5,62281,122,168,20230405
10,10,0,NEW,20226881,뮤턴트 이스케이프,2023-04-05,7911800,0.6,7911800,100,7911800,961,961,100,961,116,227,20230405
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,349815844,42.9,-48426810,-12.2,39937872992,35092,-4657,-11.7,3859572,1323,4632,20230404
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,112997962,13.9,-5980845,-5,2013705661,11522,-567,-4.7,201465,952,2614,20230404
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,113527751,13.9,45954751,68,45323230367,9767,2935,43,4397922,544,1153,20230404
4,4,0,OLD,20210544,웅남이,2023-03-22,47712386,5.9,-6494121,-12,2541882676,5149,-559,-9.8,277115,542,1295,20230404
5,5,0,OLD,20226489,리바운드,2023-04-05,24723000,3.0,1104000,4.7,161161000,2747,110,4.2,17839,9,9,20230404
6,6,0,OLD,20197654,소울메이트,2023-03-15,16585312,2.0,-2433398,-12.8,2181446482,1916,-366,-16,224286,287,401,20230404
7,7,0,OLD,20230641,오토라는 남자,2023-03-29,16286276,2.0,-213261,-1.3,246954968,1807,53,3,26541,309,505,20230404
8,8,0,OLD,20230767,파벨만스,2023-03-22,13894187,1.7,197042,1.4,620727459,1436,27,1.9,61225,193,259,20230404
9,9,22,OLD,20227863,라이스보이 슬립스,2023-04-19,9531000,1.2,7941000,499.4,28567000,1059,953,899.1,2987,8,8,20230404
